term;gene
Protein kinase;SCEQRT1033C04.g_SS
;SCSBRZ3126B07.g_SS
;SCRLSB1044H11.g_SS
No matches;SCSBRZ3125F02.g_SS
;SCQSHR1020H10.g_SS
Cell wall;SCEZLB1012D01.g_SS
;SCSGRZ3059F11.g_SS
Cell cycle;SCSGRZ3059D10.g_SS
;SCSGRZ3059C05.g_SS
;SCSBRZ3126H07.g_SS
;SCCCST3001C06.g_SS
;SCSBRZ3123B01.g_SS
;SCSBRZ3123G11.g_SS
;SCSBRZ3124A02.g_SS
;SCSBRZ3124D12.g_SS
;SCJFST1015C07.g_SS
Protein kinase;SCCCLB1001F06.g_SS
;SCSBRZ3124E02.g_SS
;SCEPAM2056G08.g_SS
;SCEQAM1042G12.g_SS
;SCSBRZ3120E09.g_SS
Cell wall;SCSBRZ3121G09.g_SS
Unknown protein;SCVPRZ2044E01.g_SS
Cell wall;SCQSST1037F05.g_SS
;SCQGAM1045F09.g_SS
Receptors;SCQSHR1023C04.g_SS
;SCRURT2010A08.g_SS
;SCSBRZ3122E09.g_SS
;SCCCAM1073G04.g_SS
Nucleic acid metabolism;SCJFST1013C07.g_SS
;SCSGRT2065F04.g_SS
;SCCCST2003E08.g_SS
;SCRLAM1011B10.g_SS
Secondary metabolism;SCCCST2002D08.g_SS
;SCJFST1016G10.g_SS
;SCCCST2003A05.g_SS
Stress;SCSBRZ3120C06.g_SS
Receptors;SCCCCL4007D06.g_SS
Protein metabolism;SCEQRT1029D05.g_SS
;SCSBRZ3119E03.g_SS
;SCVPRZ2035A03.g_SS
;SCSBRZ3119F07.g_SS
Transporters;SCVPRT2073F05.g_SS
;SCCCST2004G03.g_SS
;SCCCST2004D07.g_SS
;SCCCST2004B02.g_SS
;SCCCST2003G01.g_SS
;SCQSLR1018G03.g_SS
Calcium metabolism;SCSGFL1078H06.g_SS
;SCEPCL6021A10.g_SS
;SCCCLR1066C10.g_SS
;SCSBRZ3118D10.g_SS
Protein kinase;SCQGST1034G10.g_SS
;SCSGFL1078E09.b_SS
;SCCCLR2003D10.g_SS
Carbohydrate metabolism;SCJFFL3C02E11.b_SS
;SCVPLB1017B09.g_SS
Development;SCVPST1063D12.g_SS
;SCSGFL5C08C04.g_SS
;SCSBRZ3118B10.g_SS
;SCVPST1063C06.g_SS
Hormone biosynthesis;SCJFRT1007H07.g_SS
;SCUTLR1058D09.g_SS
Secondary metabolism;SCSGFL1078F07.g_SS
;SCSBRZ3117G05.g_SS
;SCSBRZ3117E12.g_SS
;SCSBRZ3117F01.g_SS
;SCCCST2002A02.g_SS
;SCEZLR1031D07.g_SS
;SCCCST2002G06.g_SS
;SCCCST2001B04.g_SS
;SCVPST1063F09.g_SS
;SCEQLR1029B10.g_SS
;SCCCLB1002H06.g_SS
Nucleic acid metabolism;SCRLRZ3042A06.g_SS
Transporters;SCUTRZ2024G05.g_SS
Transcription Factor;SCCCRZ1001H05.g_SS
;SCEZLB1010A12.g_SS
;SCVPRZ3028B08.g_SS
;SCCCFL4087D09.g_SS
;SCSGFL1078A05.g_SS
;SCQGRT1039H01.g_SS
;SCSGFL1078C02.g_SS
Cell wall;SCJFLR1074D02.g_SS
;SCVPRT2073F03.g_SS
;SCEPAM1050E11.g_SS
Stress;SCCCCL4006G06.g_SS
Photosynthesis;SCAGFL1086E09.g_SS
;SCRURZ3083G02.g_SS
;SCQSRT1036H11.g_SS
;SCCCLR2002F09.g_SS
Transcription Factor;SCSBRZ3117C06.g_SS
Bioenergetics;SCEZRZ3088G01.g_SS
;SCQSRT2031F04.g_SS
;SCAGFL1094H08.g_SS
Amino acid metabolism;SCVPCL6063A07.g_SS
;SCCCRZ3001G10.g_SS
Carbohydrate metabolism;SCSGFL1077F07.g_SS
;SCEPLR1030F04.g_SS
Ubiquitination;SCEZLB1006A07.g_SS
;SCVPRT2084A07.g_SS
Transcription Factor;SCCCLR1C04F11.g_SS
;SCSGFL1077B02.g_SS
;SCCCCL3080D02.b_SS
Transporters;SCSGFL1077E07.g_SS
Cell cycle;SCJFRZ2026H03.g_SS
;SCSGFL1077E10.g_SS
;SCRURZ3081D02.g_SS
Ubiquitination;SCCCLR1001B07.g_SS
;SCEZRT2019F03.g_SS
Amino acid metabolism;SCRURZ3082C11.g_SS
;SCJFRZ2033E06.g_SS
Inositol;SCVPRT2078C05.g_SS
Unknown protein;SCRLFL4027C03.g_SS
No matches;SCSBFL1044A08.g_SS
;SCCCLR1022F01.g_SS
;SCVPFL1066E08.g_SS
Carbohydrate metabolism;SCRULB1060D09.g_SS
Transcription Factor;SCCCLR1078B11.g_SS
;SCAGCL6016H08.g_SS
;SCSGST3118D10.g_SS
;SCVPFL1065H12.g_SS
;SCVPFL1068F04.g_SS
Receptors;SCBGFL4055E08.g_SS
;SCRFLR2034F04.g_SS
;SCVPFL1068B08.g_SS
;SCVPFL1068D06.g_SS
Stress;SCEPRT2047G01.g_SS
;SCJLST1019A05.g_SS
;SCVPFL1067E08.g_SS
Unknown protein;SCVPFL1067F04.g_SS
;SCCCCL3140B05.g_SS
;SCVPFL1072A04.g_SS
Protein metabolism;SCCCCL4005D12.g_SS
Stress;SCBFST3135D12.g_SS
;SCCCAM2003A08.g_SS
;SCACLR1130G01.g_SS
;SCRLFL1010H06.g_SS
;SCBGAM1092D12.g_SS
;SCVPFL1070H08.g_SS
Cell wall;SCEQSB1017F08.g_SS
;SCCCLR1080E11.g_SS
;SCAGST3139E05.g_SS
;SCVPFL1072G02.g_SS
;SCVPFL1074C05.g_SS
;SCVPFL1074A04.g_SS
;SCEZRZ1012A08.g_SS
;SCSBAM1087E12.g_SS
Ubiquitination;SCCCLR1C03B03.g_SS
;SCCCRZ2001F11.g_SS
;SCEQRT2098H07.g_SS
;SCSFSB1104F04.g_SS
;SCEPRZ3132A06.g_SS
Carbohydrate metabolism;SCCCCL7C03F06.g_SS
;SCEQSB1019B09.g_SS
;SCSGHR1072E12.g_SS
;SCSFSB1105B01.g_SS
;SCCCFL5096D07.g_SS
;SCSFSB1104H03.g_SS
;SCEQSB1C09A08.g_SS
Transcription Factor;SCAGLR1021G07.g_SS
;SCSFSB1106C01.g_SS
;SCSFSB1071G03.g_SS
;SCJLAM2091B04.g_SS
Protein kinase;SCRFLB1056D11.g_SS
;SCEQSB1015H09.g_SS
;SCRLAD1100G03.g_SS
;SCCCFL4003D11.g_SS
;SCCCFL3003A04.g_SS
;SCCCLR1067F04.g_SS
;SCRLRZ3043B11.g_SS
;SCCCLR2001B01.g_SS
Cell wall;SCCCLR2004A09.g_SS
;SCRLRZ3042D06.g_SS
;SCVPCL6065D03.g_SS
;SCRLRZ3043B01.g_SS
;SCSFSB1097H08.g_SS
;SCRLRZ3043B10.g_SS
;SCSBAD1054F04.g_SS
;SCCCST1007A04.g_SS
;SCSFSB1099C10.g_SS
;SCCCRZ1001H01.g_SS
;SCSFSB1099B08.g_SS
Cell wall;SCSFSB1099F03.g_SS
Protein kinase;SCJFLR1017F04.g_SS
;SCVPRT2076G05.g_SS
;SCJLLR1105E10.g_SS
;SCRLRZ3042B03.g_SS
;SCRLRZ3041H04.g_SS
;SCSFRT2068A07.g_SS
;SCCCRZ2C04H10.g_SS
;SCCCCL4003E03.g_SS
;SCAGRT2037E01.g_SS
Receptors;SCEPLR1030G10.g_SS
;SCEQRT1028D04.g_SS
;SCRLFL1004E03.g_SS
;SCCCLB1024A08.g_SS
;SCSFSB1101D11.g_SS
;SCAGCL6013C02.g_SS
Amino acid metabolism;SCEPAM1015F11.g_SS
Receptors;SCQSHR1023C04.g_AS
;SCCCCL3080A01.g_AS
;SCRUFL3063A08.g_SS
;SCSBRZ3123B01.g_AS
;SCCCRZ2001C03.g_SS
;SCSBRZ3123G11.g_AS
Cell wall;SCEZAM2035C11.g_SS
Transporters;SCQGFL3058H08.g_SS
Receptors;SCVPRT2078H09.g_SS
;SCSGFL4C07D03.g_SS
;SCQSFL3037F08.b_SS
Protein metabolism;SCMCAM2084F03.g_SS
;SCBGLR1114G03.g_SS
Transcription Factor;SCSBRZ3117C06.g_AS
;SCCCLR2002F09.g_AS
Cell wall;SCJFLR1074D02.g_AS
Stress;SCSBRZ3120C06.g_AS
;SCSFSB1097H04.g_SS
;SCSBRZ3120E03.g_AS
;SCQGLR2017G11.g_SS
Protein metabolism;SCEQRT1029D05.g_AS
;SCEQLR1007G05.g_SS
;SCVPRZ2035A03.g_AS
;SCRUFL3061G08.g_SS
;SCEQHR1081B05.g_SS
;SCCCLR2003D10.g_AS
;SCRUFL3063G08.g_SS
;SCSFSB1097E11.g_SS
Nucleic acid metabolism;SCSBRZ3118F08.g_AS
;SCJFFL3C06G10.g_SS
;SCSFSB1097D06.g_SS
;SCSGSB1006G07.g_SS
No matches;SCCCCL4015E07.g_SS
;SCSBRZ3118D10.g_AS
;SCRUFL3066D08.g_SS
;SCMCAM1100B05.g_SS
;SCCCRT2001G01.g_SS
;SCACST3161D11.g_SS
Unknown protein;SCRUFL3069E08.g_SS
;SCSGLR1081C01.g_SS
;SCJFFL3C06E10.g_SS
;SCVPLB1015B02.g_SS
;SCRUFL3068C08.g_SS
Protein kinase;SCVPST1059E02.g_SS
;SCVPST1060D05.g_SS
;SCVPST1059H08.g_SS
Development;SCUTRZ3069G03.g_AS
;SCEZLB1008E02.g_SS
;SCUTRZ3071E05.g_AS
Library-specific;SCJFFL3C02D08.g_SS
Stress;SCAGLR2026G09.g_AS
;SCJFFL3C02F07.g_SS
;SCUTRZ3071H01.g_AS
Transporters;SCMCLB2083D12.g_SS
;SCUTRZ3072E04.g_AS
;SCQSFL3030A08.g_SS
;SCUTRZ3073E09.g_AS
No matches;SCQSFL3035A08.g_SS
Pathogenicity;SCUTRZ3102B07.g_AS
Cell wall;SCVPST1061C06.g_SS
Receptors;SCVPST1061C08.g_SS
;SCQSRT2036D11.g_SS
;SCVPRZ2043G09.g_SS
;SCCCRZ2001C11.g_SS
;SCCCLR1001H01.g_SS
Protein kinase;SCBGLR1117G09.g_SS
;SCUTAM2088B01.g_AS
;SCRLFL3007A08.g_SS
;SCQSST1037F06.g_AS
Protein metabolism;SCVPST1061E07.g_SS
Receptors;SCVPST1061D08.g_SS
Bioenergetics;SCEQRT2093C10.g_SS
;SCSGST1068C01.g_SS
Protein phosphatase;SCRULB1060D10.g_AS
;SCUTHR1065A04.g_AS
;SCJFRZ2031H09.g_AS
;SCRUFL1113F08.b_SS
Protein metabolism;SCSGRZ3062H03.g_AS
;SCJFFL3C04B08.g_SS
;SCSGRZ3062D02.g_AS
;SCVPLR2012B02.g_SS
;SCCCRZ2001F04.g_SS
;SCSBFL4011C12.g_SS
;SCUTRZ3069A05.g_AS
;SCQSRT2036B02.g_AS
;SCCCCL4013C11.g_AS
;SCVPST1062G01.g_SS
Unknown protein;SCQSFL3031C08.g_SS
;SCVPST1062C04.g_SS
other;SCCCLR1080C06.g_SS
;SCVPST1062C11.g_SS
;SCCCAM2004E11.g_SS
Secondary metabolism;SCJFLR1073E04.g_SS
;SCJLRZ1024B01.g_SS
Nucleic acid metabolism;SCVPST1061F07.g_SS
;SCCCCL3140H09.g_SS
;SCQGSB1080G09.g_SS
;SCVPRZ3028D12.g_SS
;SCQSST3113D08.g_SS
;SCJLFL3011A10.g_SS
;SCSBFL1101G06.g_SS
;SCVPRZ2037F12.g_SS
;SCRLLR1059F06.g_SS
;SCQSFL3031E10.g_SS
;SCEQRT1029C05.g_SS
;SCQSFL3031H09.g_SS
;SCQGLR1085H12.g_SS
;SCQSFL3033C02.b_SS
;SCEZAD1080E09.g_SS
Unknown protein;SCQSFL3034B03.g_SS
Cell wall;SCQSFL3032B02.g_SS
;SCRFAM2127C07.g_SS
Transporters;SCSGAM2076E09.g_SS
;SCQSFL3033C05.g_SS
;SCSGFL4C07G01.g_SS
;SCRUFL3064A08.g_SS
;SCRUFL3064H08.g_SS
;SCRFFL1031D06.g_SS
;SCEZRZ1013A01.g_SS
Transporters;SCBFAD1089H06.g_SS
Cell wall;SCJFFL3C06B10.b_SS
No matches;SCMCFL5005D07.g_SS
Secondary metabolism;SCRUFL3067H08.g_SS
Cell cycle;SCJFRZ2026H03.g_AS
;SCJFFL3C06G11.g_SS
;SCEZRT2019F03.g_AS
;SCJFRZ2033E06.g_AS
Amino acid metabolism;SCRURZ3082C11.g_AS
;SCEPFL3081C08.g_SS
;SCSFAD1069F12.g_SS
;SCRFAD1022A08.g_SS
;SCQSLR1061H12.g_SS
;SCJFFL3C07G04.g_SS
No matches;SCEPFL3083H07.g_SS
;SCEPFL3089B08.g_SS
Transcription Factor;SCEPFL3088B08.g_SS
No matches;SCBGFL3095D08.g_SS
No matches;SCBGFL3094B08.g_SS
Protein metabolism;SCCCRT1002H03.g_SS
;SCRLRZ3114H02.g_AS
;SCBGLR1096F11.g_SS
;SCRLRZ3116C06.g_AS
;SCVPFL3046E09.b_SS
;SCEQLB1066F11.g_SS
;SCSFST1064G12.g_SS
;SCMCLR1122H07.g_AS
;SCRULB1061E11.g_SS
;SCRFLB1056E01.g_SS
;SCCCCL5004E11.g_AS
;SCVPFL3046C12.b_SS
No matches;SCBGLR1115D10.g_SS
;SCSBFL1107F05.g_SS
;SCRLAD1104H03.g_SS
;SCJFFL3C01F09.g_SS
Receptors;SCSFST1067H02.g_SS
;SCUTLR1058B01.g_AS
Stress;SCUTRZ2024A07.g_SS
;SCSFST1066C11.g_SS
;SCSFST1066E06.g_SS
;SCSGST1068A08.g_SS
;SCCCCL1001A03.g_SS
Carbohydrate metabolism;SCRFLR1012F09.g_AS
;SCUTST3089H07.g_AS
Protein kinase;SCEQRT1033A11.g_SS
;SCUTAD1030E08.g_SS
;SCJFRZ2015B05.g_SS
;SCEQLB1063E01.g_SS
Cell wall;SCJLAM2093B10.g_SS
;SCSBST3098B12.g_SS
;SCVPFL3045D02.g_SS
;SCEZLB1010C05.g_SS
;SCQGFL3056F02.g_SS
;SCCCLB1021A02.g_SS
other;SCRLFL3009C03.b_SS
;SCJFRZ2031G06.g_SS
Protein metabolism;SCCCLR2001F09.g_SS
;SCRFST1045E11.g_SS
;SCRURT2009C04.g_SS
;SCSGCL6071B12.g_SS
;SCSFST1064B02.g_SS
;SCEQRT1025F12.g_SS
;SCRLFL3009F02.b_SS
Transcription Factor;SCAGLR2018F09.g_SS
;SCQGRT1039H12.g_SS
Protein metabolism;SCUTAM2007C09.g_SS
;SCBGLR1082F12.g_SS
Nucleic acid metabolism;SCAGLR1043B12.g_SS
;SCCCRZ2003B05.g_SS
;SCVPRZ2038B09.g_SS
Pathogenicity;SCMCRZ3068F07.g_SS
Amino acid metabolism;SCCCLR1C05A07.g_SS
;SCBFRZ2016G04.g_SS
;SCMCRZ3068E07.g_SS
;SCMCCL6052F05.g_AS
;SCVPFL3047F02.b_SS
;SCSGST1069F09.g_SS
;SCMCRZ3068E01.g_SS
;SCRFRZ3055B11.g_AS
Receptors;SCRFRZ3055C09.g_AS
;SCQSRT1034G09.g_SS
;SCCCRZ1004F10.g_SS
;SCRFLR1055C07.g_SS
Transporters;SCEQLR1092F02.g_AS
;SCVPFL3048D06.g_SS
Carbohydrate metabolism;SCRFRZ3056G09.g_AS
;SCEZRZ1017A07.g_SS
Cell cycle;SCEZRZ3017D06.g_AS
;SCAGLB1069D05.g_SS
Bioenergetics;SCCCRZ2001D06.g_AS
;SCJLLR1054E12.g_SS
;SCJLLR1106D07.g_SS
Stress;SCEPFL4180E10.g_SS
Bioenergetics;SCQGLR1062B10.g_SS
Carbohydrate metabolism;SCEQLB1067C03.g_SS
;SCMCRZ3067B10.g_SS
Cell wall;SCMCRZ3068G10.g_SS
;SCBGST3104A06.g_SS
;SCVPFL3047B02.b_SS
;SCEQLR1093F02.g_SS
;SCVPFL3047F01.g_SS
;SCCCAM2001D03.g_SS
Protein phosphatase;SCSGST1068E11.g_SS
Two component;SCCCLR1080F10.g_AS
;SCAGRT2041C08.g_SS
;SCVPCL6041A04.g_SS
;SCEZAM2250H10.g_SS
;SCSGST1068C12.g_SS
Unknown protein;SCVPFL3046G11.g_SS
Unknown protein;SCCCRZ2C03D04.g_SS
;SCVPFL3047A01.g_SS
;SCSGST1068C07.g_SS
Development;SCVPFL3047B03.g_SS
;SCCCLB1002G03.g_SS
;SCVPFL3047C04.g_SS
;SCRFRZ3058E08.g_AS
;SCRFRZ3058E03.b_AS
Protein kinase;SCRLRZ3040C05.g_AS
Protein kinase;SCSGST1068H05.g_SS
Protein metabolism;SCCCLR1C07H06.g_SS
;SCCCLR1068A10.g_SS
;SCQGAM2028F04.g_SS
;SCVPFL3046A08.b_SS
Library-specific;SCVPFL3046G09.b_SS
;SCSGST1072B08.g_SS
;SCQGRZ3012B09.g_AS
;SCCCST1007G05.g_SS
;SCAGRT2037H11.g_SS
;SCSGST1071E09.g_SS
;SCSGST1071C08.g_SS
;SCCCST1003D11.g_AS
;SCQGFL3050B07.g_SS
Unknown protein;SCSGST1071H06.g_SS
;SCMCCL6048H03.g_SS
;SCSGST1071G03.g_SS
;SCCCLR1022G08.g_SS
No matches;SCSGST1072A08.g_SS
;SCCCCL4010C09.g_SS
Transcription Factor;SCCCLR1065F04.g_SS
;SCJLFL3013C05.g_SS
;SCRFFL1033H05.g_SS
;SCJLFL3012D12.g_SS
;SCCCAM1C05E05.g_SS
;SCRFHR1007G01.g_SS
Lipid, fatty-acid and isoprenoid metabolism;SCBGST3108B11.g_SS
;SCSGST1071B07.g_SS
;SCSGST1071A08.g_SS
Protein metabolism;SCEZRZ1017C07.g_SS
;SCEQRT2093C02.g_AS
Transcription Factor;SCJFRZ2010A05.g_AS
Cell wall;SCCCCL4007E12.g_AS
;SCQGST1032C04.g_AS
;SCSFAM1077D01.g_SS
;SCCCRZ1C01H12.g_SS
;SCEQAM1042F03.g_AS
;SCSGST1070D11.g_SS
;SCCCLR2C02G11.g_SS
;SCJLFL3011F03.g_SS
;SCCCCL4004C04.g_SS
;SCQSRZ3037F10.g_AS
;SCCCLR1075D12.g_SS
;SCMCSB1114F09.g_SS
;SCVPLR2012A06.g_SS
;SCCCCL4015C10.g_SS
;SCCCCL5072F03.g_SS
;SCSGST1070G02.g_SS
;SCBGLR1116C03.g_SS
;SCJLFL3010D04.g_SS
Protein kinase;SCJLHR1026C05.g_SS
Protein metabolism;SCEZLR1031E05.g_SS
;SCUTST3131H06.g_AS
Cell wall;SCMCRZ3065A12.g_AS
Hormone biosynthesis;SCJFRZ2032B09.g_AS
Cell cycle;SCBGRT1054F04.g_AS
;SCVPST1059B02.g_SS
;SCBFRZ2016H07.g_SS
;SCBGLR1027C09.g_SS
;SCEPSB1136B08.g_SS
Lipid, fatty-acid and isoprenoid metabolism;SCCCAM1001G03.g_SS
;SCRUAD1133C09.b_SS
;SCACFL5031B09.g_SS
;SCJFRZ2005G12.g_SS
Calcium metabolism;SCEPSD1069D02.g_SS
;SCCCLR1067B06.g_SS
Protein phosphatase;SCJLRZ3077G10.g_AS
;SCMCRZ3067F04.g_AS
Lipid, fatty-acid and isoprenoid metabolism;SCMCST1058D03.g_AS
Transcription Factor;SCMCRZ3066D07.g_AS
;SCMCRZ3068E01.g_AS
Amino acid metabolism;SCBFRZ2017C07.g_SS
;SCEZAM2059C07.g_SS
Stress;SCVPRZ3030D01.g_SS
;SCAGLB1071G06.g_SS
;SCSGST1072H12.g_SS
No matches;SCMCRZ3067D03.b_AS
;SCSGST1072G01.g_SS
Pathogenicity;SCMCRZ3066G07.g_AS
Transporters;SCEPLB1043A10.g_SS
;SCJFRZ2013H05.g_SS
Transporters;SCEQLR1092F02.g_SS
;SCRFRZ3055H05.g_SS
;SCCCRZ1001H08.g_SS
;SCSBFL1039F09.g_AS
;SCEQRZ3024A02.g_SS
Transcription Factor;SCRFRZ3056F07.g_SS
;SCRULB1059E01.g_SS
;SCSBFL1039H01.g_AS
Cell cycle;SCEZRZ3017D06.g_SS
Carbohydrate metabolism;SCRFRZ3056G09.g_SS
;SCEPRT2047E03.g_SS
;SCVPRT2077C07.g_SS
Ubiquitination;SCCCLR1001B07.g_AS
Transporters;SCSGFL1077E07.g_AS
;SCEZLR1031A11.g_AS
No matches;SCBGFL4055H04.g_AS
;SCQSLB1051E08.g_SS
;SCQSRT2035D09.g_SS
;SCSBFL1037C08.g_SS
;SCEQRT2093C02.g_SS
;SCSGFL1082D07.g_SS
;SCSGFL1082F01.g_SS
;SCRFRZ3055B11.g_SS
Carbohydrate metabolism;SCEZLB1008B10.g_SS
Transcription Factor;SCCCRZ1001H05.g_AS
;SCMCCL6052F05.g_SS
;SCRFRZ3055F03.g_SS
Cell wall;SCCCRZ2002D05.g_SS
;SCMCCL6053H02.g_SS
Pathogenicity;SCSBFL1037C12.g_SS
;SCRFRZ3055D03.g_SS
;SCCCHR1001F01.g_SS
Receptors;SCRFRZ3055C09.g_SS
;SCBFRZ3009D07.g_SS
;SCACST3161D11.g_AS
Secondary metabolism;SCSGFL1078F07.g_AS
Calcium metabolism;SCSGFL1078H06.g_AS
;SCSGFL1078A05.g_AS
;SCQSRT1036H11.g_AS
Protein metabolism;SCCCCL4010B12.g_AS
Stress;SCJLLR2020G03.g_SS
Carbohydrate metabolism;SCRFLR1012E06.g_SS
;SCRFRZ3058E03.b_SS
;SCSBAD1084F12.g_SS
;SCEZLR1052D09.g_SS
;SCRLRZ3040E11.g_SS
;SCCCRT2002H08.g_SS
Carbohydrate metabolism;SCRLRZ3039A02.g_SS
;SCQSSB1059G07.g_AS
Protein kinase;SCRLRZ3040C05.g_SS
Cell wall;SCEZRZ1016H12.g_SS
